"Id","Date","Time","Question","Details","Answer","Notes","Entered By","Format","Research","Borrow Return","Technology","Administrative","Other","Ticket #"
"o34238818","2021-01-21","12:34","Hello, is the library open today?","","Georgienna Lockhart: Hello, is the library open today?<br />
David Rachlin: Hello.  The library will reopen to NCAT students faculty and staff on Saturday, January 23rd.<br />
1pm-5pm<br />
The library will not be open to the general public.<br />
Georgienna Lockhart: Thank you<br />
David Rachlin: You're welcome!","","David Rachlin","LibChat","","","","Hours of Operation","",""
"o34243280","2021-01-21","15:23","How to log in or register for access to ejournals?","","Hello Renee,In order to use e-journals and databases from off campus, you must select the appropriate link to them from the Library Homepage, or from a search on the Library Website.Once chosen, you will be prompted to use your Aggie OneID to log in to the proxy server.Your Aggie credentials do NOT allow you to log into any database or e-journal directly. You must use the proxy server.Is there a particular journal you want to access?","","David Rachlin","LibAnswers System","Find Journal","","","","","6652686"
"o34243479","2021-01-21","15:31","How to log in or register for access to ejournals?","","Ok... so I'll use your top choice as an example.Use the e-journal search from the FD Bluford Library homepage.  The url for that search function is here https://ncat.on.worldcat.org/atoztitles#journal.Search for Journal of Applied Gerontology, and then choose the link that says ""Journal: Journal of Applied Gerontology"".You will then be prompted for your Aggie ID.Then you will have access to all of the full text holdings there.You can also search for relevant subjects using one of our many databases which can be accessed from the library home page.http://www.library.ncat.edu/If you have any further questions, please email me @  djrachlin@ncat.edu, and we can correspond that way, or set up a Zoom meeting for more details.Thanks!!!","","David Rachlin","LibAnswers System","Find Journal","","","","","6652686"
"o34247349","2021-01-21","18:13","Hello, I am a new student and want to know if I can login to one of the  library's computers to complete my orientation? My number is (443) 642-7998.","","Returned student's call and left message concerning his question about using computers in the library.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","","Computer Logon/off","","",""
"o34253144","2021-01-22","11:54","Hi, I am inquiring about a book that I wish to check out from the library. I used the form on yesterday.","","Barbara Ross: Hi, I am inquiring about a book that I wish to check out from the library. I used the form on yesterday.<br />
Hi, I am inquiring about a book that I wish to check out from the library. I used the form on yesterday. My name is Barbara Ross . I am with the English Department.<br />
Would I be able to pick it up today?<br />
E.F. Moore: what is the title?<br />
Barbara Ross: Images of Organization. The author is Gareth Morgan.<br />
It is located on the 2nd floor<br />
E.F. Moore: The library building is currently closed to the public during the university's Winter Break until Saturday, January 23, 2021.<br />
Barbara Ross: At what time on tomorrow will I be able to pick up the book even though I have made the request?<br />
E.F. Moore: During the weekend prior to classes resuming, the library will be open, to university students and employees only, during the hours of 1pm to 5pm. A valid Aggie OneCard is required for entry.","","E.F. Moore","LibChat","","Borrow Book","","","",""
"o34254692","2021-01-22","12:58","Looking for a book titled Digital Image Processing","Looking for ebook, we do not own.","Theo Okore-Hanson: Looking for a book titled Digital Image Processing<br />
E.F. Moore: I will check the catalog. Do you have the author's name?<br />
Theo Okore-Hanson: Looking for a book titled Digital Image Processing by R.C Gonzalez<br />
E.F. Moore: 2008 edition: AvailableF.D. Bluford Library Reserves - 2 hours - 1st FloorTA1632 .G66 200<br />
Theo Okore-Hanson: Can i get the ebook?<br />
E.F. Moore: The library building is currently closed to the public during the university's Winter Break until Saturday, January 23, 2021.<br />
During the weekend prior to classes resuming, the library will be open, to university students and employees only, during the hours of 1pm to 5pm. A valid Aggie OneCard is required for entry.<br />
Theo Okore-Hanson: You don't have the pdf right?<br />
E.F. Moore: No, I do not see an e-book<br />
Theo Okore-Hanson: Thank you","","E.F. Moore","LibChat","Find E-Book","","","","",""
"o34261025","2021-01-22","17:03","","Good Afternoon, My name is Renee Robinson and I would like to know how to login to the E-Journal Database. Do I use my one ID or do I have to use something else?","Returned Renee Robinson's call and she stated that she had received an email from the library instructing her on how to login to the E-Journal Database.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","Instruction Request","","","","",""
"o34261087","2021-01-22","17:06","No message from caller (404) 573-8832.","","No message from caller (404) 573-8832.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","","","","Hang up / No answer",""
"o34261119","2021-01-22","17:08","No message from caller (336) 483-4512.","","No message from caller (336) 483-4512.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","","","","Hang up / No answer",""
"o34269166","2021-01-24","13:25","How to log into student wifi?","","Showed student instructions taped to plexiglass.","","Anna White","In Person","","","Wi-Fi","","",""
"o34269174","2021-01-24","13:26","How to log into computer?","","First part of your email before the ""@"" and then the Blackboard password.","","Anna White","In Person","","","Computer Logon/off","","",""
"o34269638","2021-01-24","14:41","Hi - I'm looking for A&amp;T-owned images and images in general of the A&amp;T Four/Greensboro Four.","","Todd Simmons: Hi - I'm looking for A&amp;T-owned images and images in general of the A&amp;T Four/Greensboro Four.<br />
Anna White: Hi Todd, give me just a moment and I""ll like you to our digital collection<br />
Todd Simmons: I guess when I go to another page the chat doesn't follow, eh?<br />
Anna White: You can find A&amp;T Four images in our digital collection here: https://digital.library.ncat.edu/atfour/<br />
Sometimes it does, sometimes it doesn't it's a little fickle :)<br />
Is there anything else I can help you with?<br />
Todd Simmons: Thanks. Let me see what's there, and I might hit you up again.","Digital Collection","Anna White","LibChat","Choose Database","","","","",""
"o34269654","2021-01-24","14:43","Is the library please open to NCAT students from tomorrow?","","Raphael: Is the library please open to NCAT students from tomorrow?<br />
Anna White: Hi Raphael, yes the library will be open tomorrow from 8:00am - 10:00pm<br />
Is there anything else I can help you with?<br />
Raphael: Alright, thank you  very much<br />
Anna White: You're welcome, have a nice day!","","Anna White","LibAnswers System","","","","Hours of Operation","",""
"o34270434","2021-01-24","16:50","How do I download Microsoft office for free, provided by the school? Thank you.","","T'Nasia: How do I download Microsoft office for free, provided by the school? Thank you.<br />
Anna White: Hi T'Nasia, please give me just a moment and I'll find the link for you.<br />
T'Nasia: Thank you<br />
Anna White: https://hub.ncat.edu/administration/its/office-365-email-and-productivity-software.php<br />
T'Nasia: Thanks again!<br />
Anna White: You're welcome!","","Anna White","LibChat","","","MS Office","","",""
"o34270936","2021-01-24","18:29","Comp 167 Student Seeking Computational Support","","<p>Hi Micah,</p><p>I have contacted our tech department about downloading the Eclipse Development Environment software on one of our laptops.  You can submit a request to reserve a laptop<a href=""https://ncat.libwizard.com/f/laptop""> here </a>or at https://ncat.libwizard.com/f/laptop.  Please include a note about the software you would like to download on the laptop.</p><p> </p><p>Thank you,</p><p>Anna</p>","","Anna White","LibAnswers System","","Borrow Laptop","","","","6671046"
"o34271483","2021-01-24","21:29","I am NCAT studentPlease when is the library opening","","Freda: I am NCAT student<br />
Please when is the library opening<br />
Anna White: Hi Freda, the library will open tomorrow at 8:00 a.m. until 10:00 p.m.<br />
Is there anything else I can help you with?<br />
Freda: okay. Thank you very much","","Anna White","LibChat","","","","Hours of Operation","",""
"o34271557","2021-01-24","22:13","I wonder if you all have free online copies of Civilities and Civil Rights by William H chafe and A history of African Americans in North Carolina by ","","Ty: I wonder if you all have free online copies of Civilities and Civil Rights by William H chafe and A history of African Americans in North Carolina by Jeffrey j crow<br />
Anna White: HI Ty, give me just a moment and I'll look that up for you.<br />
Ty: Okay<br />
Anna White: Civilities and Civil Rights can be accessed here: https://ncat.on.worldcat.org/oclc/7410369<br />
Ty: Okay<br />
Anna White: A History of African Americans in North Carolina is not available online but it is in our Reserves Collection.  It is currently in quarantine for use and will not be available for 24-72 hours.  But you can come into the library and request up to 3 chapters and they will scan it for you.<br />
Ty: I’m doing distant learning<br />
Anna White: You should go to the Access Services Desk when you arrive at the library it will be the first desk to your left<br />
Okay, in that case you should contact Access Services at circ@ncat.edu and they will email you up to 3 chapters that you request<br />
Ty: Okay thank you","","Anna White","LibChat","Find Book","","","","",""
"o34271578","2021-01-24","22:31","I’m looking for the civilities and civil rights ebook by William chafe but the link that someone previously gave me does not give me access to the boo","","Ty: I’m looking for the civilities and civil rights ebook by William chafe but the link that someone previously gave me does not give me access to the book<br />
Anna White: Hi Ty, give me a moment and I'll look into that for you<br />
Ty: Okay<br />
Anna White: I apologize for the inconvenience, you're correct that item is not accessible through our system.  However, we do have it in our Reserves collection.  You can request up to 3 chapters from it by emailing circ@ncat.edu<br />
Ty: Okay thank you and when you say three chapters does that mean I only get to choose three chapter? I’m not sure what chapters I need<br />
Anna White: Yes due to copyright restrictions, we cannot scan more than 3 chapters at a time.  However, if you need more in the future, you can request additional chapters at that time.<br />
Ty: Okay do you have Robert Strayer’s Ways of the World: A Brief Global History (A&amp;T text, chs, 16-23) and The Ethical Life: Fundamental Readings in Ethics and Moral Problems, Fifth Edition. By Russ Shafer-Landau in ebooks<br />
Anna White: We have Ways of the Word: A Brief Global History in our Reserves collection.  However, we do not have  The Ethical Life: Fundamental Readings in Ethics and Moral Problems at the library.<br />
In the future, if you would like to look up whether we have an item or not, you can use the search box on our homepage: library.ncat.edu<br />
www.library.ncat.edu<br />
Ty: Okay thank you do you all have the Pearson codes for mymathlab as well ?<br />
Anna White: No, we do not.  You will have to purchase the Pearson codes.  This can be done through the University Book Store here: https://ncat.bncollege.com/shop/ncat/home<br />
Is there anything else I can help you with?<br />
Ty: That’s all","","Anna White","LibChat","Find Book","","","","",""
"o34271582","2021-01-24","22:33","Comp 167 Student Seeking Computational Support","","<p>Good evening,</p>

<p>The login you receive when you pick up your laptop should allow you to download software onto the laptop.  If you encounter any problems, you should contact Client Technology Services (CTS) at (336) 334-7195 or helpdesk@ncat.edu.  Their hours are Monday-Thursday 8:00am - 9:00pm and Friday 8:00am - 7:00pm.</p>

<p> </p>

<p>Thank you,</p>

<p>Anna</p>","","Anna White","LibAnswers System","","Borrow Laptop","","","","6671046"
"o34272655","2021-01-25","09:07","Textbook?","","Explained reserves books and how to use them","","David Rachlin","Telephone","","Reserves Book","","","",""
"o34272668","2021-01-25","09:08","What was the name of the Swing Phi Swing Social Fellowship line of fall 77","","[Status changed to Closed.]","","David Rachlin","LibAnswers System","Archives/Yearbook","","","","","6602615"
"o34272664","2021-01-25","09:08","Student Planners?","","Transferred the call to access services to find out if we have more planners.","","David Rachlin","Telephone","","","","","Need Other Department",""
"o34273173","2021-01-25","09:31","where do I borrow a laptop","","Access services","","David Rachlin","In Person","","Borrow Laptop","","","",""
"o34273213","2021-01-25","09:33","how to print","","","","David Rachlin","In Person","","","Printers","","",""
"o34273214","2021-01-25","09:33","Hope you are doing well. I cannot access the following paper through our library. Could you please help?","Hope you are doing well. I cannot access the following paper through our library. Could you please help?<br />
S. Dhankhad, E. Mohammed and B. Far, ""Supervised Machine Learning Algorithms for Credit Card Fraudulent Transaction Detection: A Comparative Study,"" 2018 IEEE International Conference on Information Reuse and Integration (IRI), Salt Lake City, UT, 2018, pp. 122-125, doi: 10.1109/IRI.2018.00025","Interesting that our access has still not improved through AggieGOLD.  <br />
<br />
Be that as it may, follow the steps below:<br />
<br />
""We have access to this document, but if you go through AggieGOLD, it does not link through.<br />
<br />
Please start at this link:  IEEE Xplore - IEEE/IET Electronic Library as it will take you to all the IEEE documents.<br />
<br />
After logging in with your Aggie OneID credentials, please search for the article you need. <br />
<br />
[Supervised Machine Learning Algorithms for Credit Card Fraudulent Transaction Detection]<br />
<br />
Your screen should then look like this screenshot:""<br />
<br />
[Screenshot not included here]<br />
<br />
The PDFs should be available.  It appears that there are two very similar papers - and five in the search results.<br />
<br />
This will work for all recent IEEE journals or conference papers.<br />
<br />
Please let me know if this does not work for you and I will email you the PDF.","What happened to the Liaison choice? Does that Dataset need to be built?","John Teleha","E-Mail","Find Article","","","","",""
"o34273401","2021-01-25","09:42","wi-fi","","","","David Rachlin","Telephone","","","Wi-Fi","","",""
"o34273719","2021-01-25","09:56","transfer to access services","","","","David Rachlin","Telephone","","","","","Need Other Department",""
"o34274332","2021-01-25","10:22","transfer to CTS","","","","David Rachlin","Telephone","","","Refer to CTS","","",""
"o34274359","2021-01-25","10:23","printing","","Student was printing from chrome and not from the PDF reader.","","David Rachlin","In Person","","","Printers","","",""
"o34274757","2021-01-25","10:39","AGGIE Access","","Advised that tech support is still located downstairs.","","David Rachlin","Telephone","","","Refer to CTS","","",""
"o34274825","2021-01-25","10:42","hours?","","","","David Rachlin","Telephone","","","","Hours of Operation","",""
"o34275839","2021-01-25","11:17","trying to order textbook","","","","David Rachlin","Telephone","","","","","Bookstore",""
"o34275863","2021-01-25","11:19","transfer to CTS","","","","David Rachlin","Telephone","","","Refer to CTS","","",""
"o34276877","2021-01-25","11:51","ILL","","Student could not log in to microsoft online to get access to ILL form.  Connected student to CTS.","","David Rachlin","Telephone","","","Refer to CTS","","",""
"o34277148","2021-01-25","12:00","books about chess","","","","David Rachlin","In Person","Find Book","","","","",""
"o34277207","2021-01-25","12:03","Where do I check out a chromebook?","","Directed patron to access services","","Brittney Farmer","In Person","","","","","Need Other Department",""
"o34277225","2021-01-25","12:03","What is the computer login","","Advised patron the login is the same as blackboard","","Brittney Farmer","In Person","","","Computer Logon/off","","",""
"o34278236","2021-01-25","12:41","Can i be connect to CTS?","","Transferred call","","Brittney Farmer","Telephone","","","","","Need Other Department",""
"o34278297","2021-01-25","12:43","hours?","","","","David Rachlin","Telephone","","","","Hours of Operation","",""
"o34278641","2021-01-25","12:57","hours?","","","","David Rachlin","In Person","","","","Hours of Operation","",""
"o34279692","2021-01-25","13:15","Can you transfer me to CTS?","","Yes","","Anna White","Telephone","","","","","Need Other Department",""
"o34279677","2021-01-25","13:31","Can I use this stapler?","","Yes","","Anna White","In Person","","","","Office Supplies","",""
"o34279767","2021-01-25","13:34","Do you have a hole puncher?","","Yes","","Anna White","In Person","","","","Office Supplies","",""
"o34279920","2021-01-25","13:39","Do you have the book The Black Apollo in print form?","","Yes, helped patron search in catalog and directed them on how to find it in the stacks.","","Anna White","In Person","Find Book","","","","",""
"o34281008","2021-01-25","14:18","Hours for CTS today?","","They are open for walk up service until 7:00 p.m.","","Anna White","Telephone","","","","Hours of Operation","",""
"o34281030","2021-01-25","14:18","Help locating a book in the stacks.","","Located item in stacks for patron.","","Anna White","In Person","Find Book","","","","",""
"o34282874","2021-01-25","15:16","Help with Blackboard password?","","Sent patron to CTS.","","Anna White","In Person","","","Blackboard","","Need Other Department",""
"o34283016","2021-01-25","15:21","Where is CTS located and how do I get there?","","Lower level you can take the stairs or elevator.","","Anna White","In Person","","","","Directional Campus","Need Other Department",""
"o34283833","2021-01-25","15:51","Printer needs paper","","Filled printers","","Aaron James","In Person","","","Printers","","",""
"o34283851","2021-01-25","15:52","Library hours?","","We close at 10:00pm tonight.","","Anna White","Telephone","","","","Hours of Operation","",""
"o34284086","2021-01-25","16:01","Printer touch screens not responding","","Unplugged and plugged back in.","","Anna White","In Person","","","Printers","","",""
"o34284580","2021-01-25","16:18","Help with hole puncher stuck on papers.","","Un-jammed hole puncher.","","Anna White","In Person","","","","Office Supplies","",""
"o34284984","2021-01-25","16:31","Can I use a Reserves book in the library or can I only scan it?","","You can use the item for up to two hours in the library building.","","Anna White","E-Mail","","Reserves Book","Scanner","","",""
"o34285344","2021-01-25","16:47","Contact info for a professor in agribusiness","","","","Anna White","Telephone","","","","","Other Information",""
"o34285594","2021-01-25","16:56","What are your hours?","","","","Anna White","Telephone","","","","Hours of Operation","",""
"o34287320","2021-01-25","17:25","Request for the library to purchase a book.","","Sent information to Tiffany","","Anna White","Telephone","","","","","Buy Book/Add to Collection",""
"o34287299","2021-01-25","18:20","Where to check out a laptop?","","Access Services","","Anna White","Telephone","","Borrow Laptop","","","Need Other Department",""
"o34287297","2021-01-25","18:20","I am looking for a book titled Introduction to Nondestructive Testing or Handbook for Nondestructive Evaluation. I need questions at the end of each c","","Dr. Wilkins,: I am looking for a book titled Introduction to Nondestructive Testing or Handbook for Nondestructive Evaluation. I need questions at the end of each chapter.<br />
I am looking for a book titled Introduction to Nondestructive Testing or Handbook for Nondestructive Evaluation. I need questions at the end of each chapter.<br />
I found two book in the library . Introduction to Nondestructive Testing and Handbook for Nondestructive Evaluation.<br />
Evelyn Blount: Hello, Please give me a few minutes to check our online catalog. I will be right back with you.<br />
Dr. Wilkins,: Here is the ISBN-139780471420293/ISBN-100471420298.<br />
Evelyn Blount: Handbook of nondestructive evaluationby Charles HellierFormat:Print BookPublication year:2001Held by North Carolina A&amp;T State UniversityAvailableF.D. Bluford Library Stacks - 3rd FloorTA417.2 .H45 2001More local formats: eBook<br />
Please see the information I just sent to you. The book is available via the library's online catalog. <br />
Dr. Wilkins,: Can I check it out virtual, or will I need to come to the library to get it. By the way, I do not think this book have question at the end of each chapter. It is whats considered a professional book O have the 3rd Edition.<br />
What is the process for retrieving this book<br />
Evelyn Blount: Please try to access the ebook version.You will need to register to use Books24x7 database if you currently do not have an account already setup. <br />
If this is not the book you need, I suggest that you request an Interlibrary Loan to borrow the book from another library.<br />
Here is the link to request an Interlibrary Loan  the online form.<br />
Is there anything else I can help you with?","","Evelyn Blount","LibChat","Find Book","","","","",""
"o34287310","2021-01-25","18:21","Where is the access services desk?","","Over on the other side of the stairs","","Anna White","In Person","","","","","Need Other Department",""
"o34287381","2021-01-25","18:26","Message from caller (708) 491-9534 was forwarded to Harvey Long. Caller asked specifically for Harvey.","","Message from caller (708) 491-9534 was forwarded to Harvey Long. Caller asked specifically for Harvey.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","","","","Call for Specific Librarian",""
"o34287812","2021-01-25","18:59","","My name is Jasmine Paris and I would like to know if the library is open so that I  can come to the library to checkout a laptop?","Returned Jasmine's call and left her contact information for Access Services Department and information concerning library hours.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","Borrow Laptop","","","",""
"o34287938","2021-01-25","19:09","","Student wanted to know if he could reserve a study room on January 27th from 9am - 4pm. Please call me back at (301) 741-0522.","Returned student's call and he stated that he had spoken with the Access Services Department and had gotten an answer to his question.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","","","Study Room","",""
"o34288028","2021-01-25","19:15","I have a quick question, I would like to know what are the library's hours? Please call me back at (919) 356- 1169.","","Returned student's call and could not leave message. Voicemail box full.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","","","Hours of Operation","",""
"o35137390","2021-01-25","20:06","What time does the library open tomorrow?","","8am","","Anna White","In Person","","","","Hours of Operation","",""
"o34290130","2021-01-26","08:36","How do I download the Arc GIS software?","","Clinton Griffin: How do I download the Arc GIS software?<br />
David Rachlin: Hello Clinton.<br />
I'd be happy to help you with that.<br />
Clinton Griffin: Hello David and thank you.<br />
David Rachlin: To the best of my knowledge, you can not download Arc GIS.  You may need to use it on one of the computers in your department lab, or in the library.<br />
I'd recommend you contact Client Technical Services for further information.<br />
You can reach them at helpdesk@ncat.edu<br />
I checked AggiesAnywhere which is the virtual machine for course software, but I don't see it in there, so remote access may not be possible.<br />
Clinton Griffin: Okay, thanks!<br />
David Rachlin: No problem. Sorry I could be more help.<br />
Clinton Griffin: It's fine, I appreciate the direction.","","David Rachlin","LibChat","","","Refer to CTS","","",""
"o34290893","2021-01-26","09:47","","","","","E.F. Moore","Telephone","","","Wi-Fi","","",""
"o34291094","2021-01-26","10:01","","","","","E.F. Moore","Telephone","","","Wi-Fi","","",""
"o34291434","2021-01-26","10:22","","","","","E.F. Moore","Telephone","","","","Hours of Operation","",""
"o34291436","2021-01-26","10:22","I'm trying to get my blackboard login fixed, where do I go?","","IT help desk, downstairs in the basement.","","MyKia Kallie","In Person","","","","","Need Other Department",""
"o34291461","2021-01-26","10:23","New Science Building is where","","Gabriel: New Science Building is where<br />
David Rachlin: Hello Gabriel.<br />
What is the name of the building you are looking for?<br />
Gabriel: Department of chemistry<br />
David Rachlin: Thanks, could you update your email address in our form please?","","David Rachlin","LibChat","","","","Directional Campus","",""
"o34291809","2021-01-26","10:41","","","","","E.F. Moore","In Person","","","Computer Logon/off","","",""
"o34292305","2021-01-26","11:04","","","","","E.F. Moore","In Person","","","","Office Supplies","",""
"o34292539","2021-01-26","11:14","","","","","E.F. Moore","In Person","","","Wi-Fi","","",""
"o34293157","2021-01-26","11:37","","","","","E.F. Moore","In Person","","","Computer Logon/off","","",""
"o34294737","2021-01-26","12:44","","","","","E.F. Moore","Telephone","Find E-Book","","","","",""
"o34296344","2021-01-26","13:45","Textbook lookup","","The textbook is located in access services","","Carlos Grooms","In Person","","Reserves Book","","","",""
"o34296468","2021-01-26","13:49","","","Maintenance kit is low","","Carlos Grooms","In Person","","","Printers","","",""
"o34296956","2021-01-26","14:06","Are you giving out student planners","","We do not have planners at this time","","Carlos Grooms","Telephone","","","","Office Supplies","Need Other Department",""
"o34299108","2021-01-26","15:30","Laptop help with sign in","","<p>Hello  Kiana,</p>

<p>Please contact the Access Services Department at (336) 285-4164 or you can email them at <a class=""email-link"" href=""mailto:circ@ncat.edu?subject=ADA%20Assistance%20for%20ILL/DD"" title="""">circ@ncat.edu</a>, The Access Services Department is responsible for the laptops and will be able to assist you on what steps to take for getting logged on the library's laptop.</p>

<p>Evelyn Blount/F. D.Bluford Library</p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>","","Evelyn Blount","LibAnswers System","","","Computer Logon/off","","","6686607"
"o34302005","2021-01-26","16:25","how to print?","","","","David Rachlin","In Person","","","Printers","","",""
"o34301029","2021-01-26","16:39","computer login","","Student was just readmitted and hasn't logged in to a computer on campus yet. referred to CTS to have login reset.","","David Rachlin","In Person","","","Refer to CTS","","",""
"o34301375","2021-01-26","16:43","hours?","","","","David Rachlin","Telephone","","","","Hours of Operation","",""
